	chrom	start	end	geneid	genename	gains	losses
50	1	955502	991499	NM_198576	AGRN	0.1501	0
51	1	1007125	1009687	NM_001205252	RNF223	0.1501	0
52	1	1017197	1051736	NM_017891	C1orf159	0.1501	0
53	1	1072396	1079434	NR_038869	LINC01342	0.1501	0
54	1	1102483	1102578	NR_029639	MIR200B	0.1501	0
55	1	1103242	1103332	NR_029834	MIR200A	0.1501	0
56	1	1104384	1104467	NR_029957	MIR429	0.1501	0
57	1	1109285	1133313	NM_001130045	TTLL10	0.1501	0
58	1	1115076	1121243	NM_153254	TTLL10	0.1501	0
59	1	1138887	1142089	NM_004195	TNFRSF18	0.1501	0
60	1	1138887	1142089	NM_148901	TNFRSF18	0.1501	0
61	1	1138887	1142089	NM_148902	TNFRSF18	0.1501	0
62	1	1146705	1149548	NM_003327	TNFRSF4	0.1501	0
63	1	1152287	1167447	NM_016547	SDF4	0.1501	0
64	1	1152287	1167447	NM_016176	SDF4	0.1501	0
65	1	1167628	1170420	NM_080605	B3GALT6	0.1501	0
66	1	1177825	1182102	NM_001014980	FAM132A	0.1501	0
67	1	1189291	1209234	NM_194315	UBE2J2	0.1501	0
68	1	1189291	1209234	NM_058167	UBE2J2	0.1501	0
69	1	1189291	1209234	NM_194458	UBE2J2	0.1501	0
70	1	1189291	1209234	NM_194457	UBE2J2	0.1501	0
71	1	1215815	1227409	NM_001130413	SCNN1D	0.1501	0
72	1	1215815	1227409	NR_037668	SCNN1D	0.1501	0
73	1	1227763	1243269	NM_030649	ACAP3	0.1501	0
74	1	1231489	1231550	NR_106784	MIR6726	0.1501	0
75	1	1243993	1247057	NM_153339	PUSL1	0.1501	0
76	1	1246964	1260067	NM_017871	CPSF3L	0.1501	0
77	1	1246964	1260067	NM_001256456	CPSF3L	0.1501	0
78	1	1246964	1260067	NM_001256463	CPSF3L	0.1501	0
79	1	1246964	1260067	NM_001256462	CPSF3L	0.1501	0
80	1	1246964	1260067	NM_001256460	CPSF3L	0.1501	0
81	1	1247881	1247946	NR_106785	MIR6727	0.1501	0
82	1	1260142	1264276	NM_001029885	CPTP	0.1501	0
83	1	1266725	1269844	NM_152228	TAS1R3	0.1501	0
84	1	1270657	1284492	NM_004421	DVL1	0.1501	0
85	1	1275029	1275088	NR_106866	MIR6808	0.1501	0
86	1	1288068	1293927	NM_001282585	MXRA8	0.1501	0
87	1	1288068	1294174	NM_001282584	MXRA8	0.1501	0
88	1	1288068	1297157	NM_001282583	MXRA8	0.1501	0
89	1	1288068	1298921	NM_001282582	MXRA8	0.1501	0
90	1	1288068	1294174	NM_032348	MXRA8	0.1501	0
91	1	1309109	1310580	NM_001127229	AURKAIP1	0.1501	0
92	1	1309109	1310818	NM_017900	AURKAIP1	0.1501	0
93	1	1309110	1310562	NM_001127230	AURKAIP1	0.1501	0
94	1	1321090	1334718	NM_030937	CCNL2	0.1501	0
95	1	1327667	1334718	NM_001039577	CCNL2	0.1501	0
96	1	1334909	1337426	NR_015434	LOC148413	0.1501	0
97	1	1337275	1342693	NM_017971	MRPL20	0.1501	0
98	1	1353799	1356824	NM_001145210	ANKRD65	0.1501	0
99	1	1353799	1356824	NM_001243536	ANKRD65	0.1501	0
100	1	1353799	1356824	NM_001243535	ANKRD65	0.1501	0
101	1	1361507	1363167	NM_001146685	TMEM88B	0.1501	0
102	1	1365536	1369953	NR_125994	LOC102724312	0.1501	0
103	1	1365536	1369953	NR_125995	LOC102724312	0.1501	0
104	1	1365536	1369953	NR_125996	LOC102724312	0.1501	0
105	1	1370902	1378262	NM_199121	VWA1	0.1501	0
106	1	1370902	1378262	NM_022834	VWA1	0.1501	0
107	1	1385068	1405538	NM_001039211	ATAD3C	0.1501	0
108	1	1407163	1431582	NM_031921	ATAD3B	0.1501	0
109	1	1447522	1470067	NM_001170535	ATAD3A	0.1501	0
110	1	1447522	1470067	NM_018188	ATAD3A	0.1501	0
111	1	1447909	1470067	NM_001170536	ATAD3A	0.1501	0
112	1	1470157	1475740	NM_001114748	TMEM240	0.1501	0
113	1	1477052	1510262	NM_014188	SSU72	0.1501	0
114	1	1533387	1535476	NM_001242659	C1orf233	0.1501	0
115	1	1550794	1565990	NM_001170688	MIB2	0.1501	0
116	1	1550794	1565990	NM_001170687	MIB2	0.1501	0
117	1	1550794	1565990	NM_080875	MIB2	0.1501	0
118	1	1550794	1565990	NM_001170686	MIB2	0.1501	0
119	1	1550794	1565990	NR_033183	MIB2	0.1501	0
120	1	1551244	1565990	NM_001170689	MIB2	0.1501	0
121	1	1567559	1570030	NM_006983	MMP23B	0.1501	0
122	1	1568158	1570027	NR_002946	MMP23A	0.1501	0
123	1	1570602	1655859	NM_033487	CDK11B	0.1501	0
124	1	1570602	1655859	NM_033486	CDK11B	0.1501	0
125	1	1570602	1655859	NM_033489	CDK11B	0.1501	0
126	1	1570602	1655859	NM_033490	CDK11B	0.1501	0
127	1	1570602	1655859	NM_001291345	CDK11B	0.1501	0
128	1	1570602	1655859	NM_001787	CDK11B	0.1501	0
129	1	1592938	1624243	NM_001290264	SLC35E2B	0.1501	0
130	1	1592938	1624243	NM_001110781	SLC35E2B	0.1501	0
131	1	1631377	1633247	NR_002946	MMP23A	0.1501	0
132	1	1634169	1655791	NM_033529	CDK11A	0.1501	0
133	1	1634169	1655791	NM_024011	CDK11A	0.1501	0
134	1	1656276	1677438	NM_001199787	SLC35E2	0.1501	0
135	1	1658823	1677438	NM_182838	SLC35E2	0.1501	0
136	1	1682670	1711508	NM_001198994	NADK	0.1501	0
137	1	1682670	1710297	NM_001198993	NADK	0.1501	0
138	1	1682670	1690081	NM_001198995	NADK	0.1501	0
139	1	1682670	1709909	NM_023018	NADK	0.1501	0
140	1	1716723	1822556	NM_001282539	GNB1	0.1501	0
141	1	1716723	1822556	NM_002074	GNB1	0.1501	0
142	1	1716723	1822556	NM_001282538	GNB1	0.1501	0
143	1	1846265	1848733	NM_138705	CALML6	0.1501	0
144	1	1849028	1850740	NM_178545	TMEM52	0.1501	0
145	1	1853389	1935276	NM_001304360	CFAP74	0.1501	0
146	1	1884751	1935276	NM_001080484	CFAP74	0.1501	0
147	1	1950767	1962192	NM_000815	GABRD	0.1501	0
148	1	1981908	2116834	NM_002744	PRKCZ	0.1501	0
149	1	2005085	2116834	NM_001033581	PRKCZ	0.1501	0
150	1	2005424	2116834	NM_001242874	PRKCZ	0.1501	0
151	1	2036154	2116834	NM_001033582	PRKCZ	0.1501	0
152	1	2115898	2126214	NM_001256945	C1orf86	0.1501	0
153	1	2115898	2126214	NM_001282672	C1orf86	0.1501	0
154	1	2115898	2126214	NM_001282671	C1orf86	0.1501	0
155	1	2115898	2126214	NM_001282673	C1orf86	0.1501	0
156	1	2115898	2139172	NM_001146310	C1orf86	0.1501	0
157	1	2120987	2144159	NM_001282670	C1orf86	0.1501	0
158	1	2120987	2126214	NM_182533	C1orf86	0.1501	0
159	1	2120987	2126214	NM_001256947	C1orf86	0.1501	0
160	1	2120987	2126214	NR_046427	C1orf86	0.1501	0
161	1	2123333	2126214	NM_001256946	C1orf86	0.1501	0
162	1	2160133	2241652	NM_003036	SKI	0.1501	0
163	1	2252691	2323190	NM_024848	MORN1	0.1501	0
164	1	2281852	2284100	NR_024489	LOC100129534	0.1501	0
165	1	2286613	2323190	NM_001301060	MORN1	0.1501	0
166	1	2306292	2323190	NR_125361	MORN1	0.1501	0
167	1	2323213	2336885	NM_007033	RER1	0.1501	0
168	1	2336240	2344010	NM_153818	PEX10	0.1501	0
169	1	2336240	2344010	NM_002617	PEX10	0.1501	0
170	1	2398897	2436969	NM_001303012	PLCH2	0.1501	0
171	1	2407753	2436969	NM_014638	PLCH2	0.1501	0
172	1	2407753	2436969	NM_001303013	PLCH2	0.1501	0
173	1	2439969	2458067	NM_018216	PANK4	0.1501	0
174	1	2460183	2461684	NM_001010926	HES5	0.1501	0
175	1	2481358	2488450	NR_037844	LOC115110	0.1501	0
176	1	2487803	2497061	NM_003820	TNFRSF14	0.1501	0
177	1	2487803	2497061	NM_001297605	TNFRSF14	0.1501	0
178	1	2497973	2515973	NR_121638	LOC100996583	0.1501	0
179	1	2517898	2522908	NR_036638	FAM213B	0.1501	0
180	1	2517898	2522908	NR_036637	FAM213B	0.1501	0
181	1	2518188	2522908	NM_001195741	FAM213B	0.1501	0
182	1	2518188	2522908	NM_001195740	FAM213B	0.1501	0
183	1	2518188	2522908	NM_001195738	FAM213B	0.1501	0
184	1	2518188	2522908	NM_001195737	FAM213B	0.1501	0
185	1	2518188	2522908	NM_001195736	FAM213B	0.1501	0
186	1	2518188	2522908	NM_152371	FAM213B	0.1501	0
187	1	2522080	2564481	NM_033467	MMEL1	0.1501	0
188	1	2572806	2706230	NM_001242672	TTC34	0.1501	0
189	1	2938045	2939467	NM_080431	ACTRT2	0.1501	0
190	1	2976180	2984289	NR_015440	LINC00982	0.1501	0
191	1	2980635	2984289	NR_024371	LINC00982	0.1501	0
192	1	2985741	3355185	NM_199454	PRDM16	0.1501	0
193	1	2985741	3355185	NM_022114	PRDM16	0.1501	0
194	1	3044538	3044599	NR_036215	MIR4251	0.1501	0
195	1	3371146	3397677	NM_014448	ARHGEF16	0.1501	0
196	1	3404505	3528059	NM_001409	MEGF6	0.1501	0
197	1	3477259	3477354	NR_030277	MIR551A	0.1501	0
198	1	3541555	3546694	NM_182752	TPRG1L	0.1501	0
199	1	3547330	3566671	NM_017818	WRAP73	0.1501	0
200	1	3569128	3652765	NM_005427	TP73	0.1501	0
201	1	3569128	3652765	NM_001204188	TP73	0.1501	0
202	1	3569128	3652765	NM_001204187	TP73	0.1501	0
203	1	3569128	3652765	NM_001204186	TP73	0.1501	0
204	1	3569128	3652765	NM_001204185	TP73	0.1501	0
205	1	3569128	3652765	NM_001204184	TP73	0.1501	0
206	1	3607235	3652765	NM_001126242	TP73	0.1501	0
207	1	3607235	3652765	NM_001126241	TP73	0.1501	0
208	1	3607235	3652765	NM_001204191	TP73	0.1501	0
209	1	3607235	3652765	NM_001204190	TP73	0.1501	0
210	1	3607235	3652765	NM_001204189	TP73	0.1501	0
211	1	3607235	3652765	NM_001126240	TP73	0.1501	0
212	1	3614609	3652765	NM_001204192	TP73	0.1501	0
213	1	3652547	3663937	NR_033710	TP73-AS1	0.1501	0
214	1	3652547	3663937	NR_033709	TP73-AS1	0.1501	0
215	1	3652547	3663937	NR_033708	TP73-AS1	0.1501	0
216	1	3652547	3663937	NR_033711	TP73-AS1	0.1501	0
217	1	3652547	3663335	NR_033712	TP73-AS1	0.1501	0
218	1	3668964	3688209	NM_152492	CCDC27	0.1501	0
219	1	3689324	3692546	NM_001288583	SMIM1	0.1501	0
220	1	3689350	3692546	NM_001163724	SMIM1	0.1501	0
221	1	3696783	3713068	NM_020710	LRRC47	0.1501	0
222	1	3728644	3773797	NM_014704	CEP104	0.1501	0
223	1	3773830	3801993	NM_001282669	DFFB	0.1501	0
224	1	3773830	3801993	NM_004402	DFFB	0.1501	0
225	1	3773830	3801993	NR_104222	DFFB	0.1501	0
226	1	3805696	3816857	NM_207356	C1orf174	0.1501	0
227	1	3816967	3832011	NR_024455	LINC01134	0.1501	0
228	1	4000671	4012643	NR_040065	LINC01346	0.1501	0
229	1	4472110	4484744	NR_027088	LOC284661	0.1501	0
230	1	4715104	4843851	NM_018836	AJAP1	0.1501	0
231	1	4715104	4837854	NM_001042478	AJAP1	0.1501	0
232	1	5624130	5624203	NR_039612	MIR4417	0.1501	0
233	1	5922731	5922801	NR_039838	MIR4689	0.1501	0
234	1	5922867	6052533	NM_001291594	NPHP4	0.1501	0
235	1	5922867	6052533	NM_001291593	NPHP4	0.1501	0
236	1	5922867	6052533	NR_111987	NPHP4	0.1501	0
237	1	5922867	6052533	NM_015102	NPHP4	0.1501	0
238	1	6052357	6161253	NM_001199861	KCNAB2	0.1501	0
239	1	6086072	6161253	NM_003636	KCNAB2	0.1501	0
240	1	6086072	6161253	NM_172130	KCNAB2	0.1501	0
241	1	6094347	6161253	NM_001199860	KCNAB2	0.1501	0
242	1	6105980	6161253	NM_001199862	KCNAB2	0.1501	0
243	1	6106173	6161253	NM_001199863	KCNAB2	0.1501	0
244	1	6161846	6240194	NM_015557	CHD5	0.1501	0
245	1	6245079	6259679	NM_000983	RPL22	0.1501	0
246	1	6264899	6265840	NR_125997	LOC102724450	0.1501	0
247	1	6266188	6281359	NM_207396	RNF207	0.1501	0
248	1	6281252	6296044	NM_012405	ICMT	0.1501	0
249	1	6296299	6299502	NR_103534	LINC00337	0.1501	0
250	1	6304251	6305638	NM_001024598	HES3	0.1501	0
251	1	6307405	6321035	NM_207370	GPR153	0.1501	0
252	1	6324331	6420764	NM_181865	ACOT7	0.1501	0
253	1	6324331	6453826	NM_007274	ACOT7	0.1501	0
254	1	6324331	6445883	NM_181864	ACOT7	0.1501	0
255	1	6324331	6419004	NM_181866	ACOT7	0.1501	0
256	1	6475293	6479979	NM_019089	HES2	0.1501	0
257	1	6484847	6521004	NM_031475	ESPN	0.1501	0
258	1	6489893	6489956	NR_036218	MIR4252	0.1501	0
259	1	6521213	6526255	NM_148965	TNFRSF25	0.1501	0
260	1	6521213	6526255	NM_148966	TNFRSF25	0.1501	0
261	1	6521213	6526255	NM_003790	TNFRSF25	0.1501	0
262	1	6521213	6526255	NM_148970	TNFRSF25	0.1501	0
263	1	6521213	6526255	NM_148967	TNFRSF25	0.1501	0
264	1	6524170	6526255	NM_001039664	TNFRSF25	0.1501	0
265	1	6526151	6551761	NM_020631	PLEKHG5	0.1501	0
266	1	6526151	6557484	NM_001042663	PLEKHG5	0.1501	0
267	1	6526151	6545529	NM_001265593	PLEKHG5	0.1501	0
268	1	6526151	6550654	NM_001265594	PLEKHG5	0.1501	0
269	1	6526151	6546014	NM_001042665	PLEKHG5	0.1501	0
270	1	6526151	6550640	NM_001042664	PLEKHG5	0.1501	0
271	1	6526151	6580121	NM_198681	PLEKHG5	0.1501	0
272	1	6526151	6557156	NM_001265592	PLEKHG5	0.1501	0
273	1	6581406	6614658	NM_024654	NOL9	0.1501	0
274	1	6615337	6639817	NM_177540	TAS1R1	0.1501	0
275	1	6615337	6639817	NM_138697	TAS1R1	0.1501	0
276	1	6640050	6649340	NM_001278648	ZBTB48	0.1501	0
277	1	6640050	6649340	NM_001278647	ZBTB48	0.1501	0
278	1	6640050	6649340	NM_005341	ZBTB48	0.1501	0
279	1	6650783	6662958	NM_014851	KLHL21	0.1501	0
280	1	6673755	6684093	NM_153812	PHF13	0.1501	0
281	1	6684924	6693642	NM_001195753	THAP3	0.1501	0
282	1	6685209	6693642	NM_001195752	THAP3	0.1501	0
283	1	6685209	6695646	NM_138350	THAP3	0.1501	0
284	1	6694227	6761966	NM_018198	DNAJC11	0.1501	0
285	1	6784804	6790072	NR_104620	LOC100505887	0.1501	0
286	1	6787586	6790072	NR_104621	LOC100505887	0.1501	0
287	1	6845383	6932107	NM_001195563	CAMTA1	0.1501	0
288	1	6845383	7829766	NM_015215	CAMTA1	0.1501	0
289	1	6845383	6948261	NM_001242701	CAMTA1	0.1501	0
290	1	6845383	6948261	NR_038934	CAMTA1	0.1501	0
291	1	7831328	7841492	NM_004781	VAMP3	0.1501	0
292	1	7844488	7905240	NM_001289864	PER3	0.1501	0
293	1	7844488	7905240	NM_001289863	PER3	0.1501	0
294	1	7844488	7905240	NM_001289862	PER3	0.1501	0
295	1	7844488	7905240	NM_001289861	PER3	0.1501	0
296	1	7844488	7905240	NM_016831	PER3	0.1501	0
297	1	7907671	7913104	NM_006786	UTS2	0.1501	0
298	1	7907671	7913551	NM_021995	UTS2	0.1501	0
299	1	7975930	8003225	NM_001561	TNFRSF9	0.1501	0
300	1	8021713	8045342	NM_007262	PARK7	0.1501	0
301	1	8021713	8045342	NM_001123377	PARK7	0.1501	0
302	1	8071778	8086393	NM_018948	ERRFI1	0.1501	0
303	1	8268731	8275268	NR_125998	LOC102724539	0.1501	0
304	1	8378144	8404227	NM_001080397	SLC45A1	0.1501	0
305	1	8412463	8483747	NM_001042682	RERE	0.1501	0
306	1	8412463	8877699	NM_001042681	RERE	0.1501	0
307	1	8412463	8877699	NM_012102	RERE	0.1501	0
308	1	8484704	8495076	NR_125999	LOC102724552	0.1501	0
309	1	8921058	8931635	NM_001201483	ENO1	0.1501	0
310	1	8921058	8939151	NM_001428	ENO1	0.1501	0
311	1	8926560	8926649	NR_106786	MIR6728	0.1501	0
312	1	8938893	8939943	NR_038351	ENO1-AS1	0.1501	0
313	1	9005892	9035148	NM_001215	CA6	0.1501	0
314	1	9005892	9034503	NM_001270500	CA6	0.1501	0
315	1	9005892	9035148	NM_001270501	CA6	0.1501	0
316	1	9005892	9035148	NM_001270502	CA6	0.1501	0
317	1	9063358	9086404	NM_207420	SLC2A7	0.1501	0
318	1	9097004	9129887	NM_003039	SLC2A5	0.1501	0
319	1	9101426	9129887	NM_001135585	SLC2A5	0.1501	0
320	1	9164475	9189229	NM_024980	GPR157	0.1501	0
321	1	9211726	9211836	NR_029610	MIR34A	0.1501	0
322	1	9294862	9331394	NM_004285	H6PD	0.1501	0
323	1	9299902	9331394	NM_001282587	H6PD	0.1501	0
324	1	9352940	9429590	NM_025106	SPSB1	0.1501	0
325	1	9485152	9488975	NR_104623	LOC100506022	0.1501	0
326	1	9485152	9489055	NR_104622	LOC100506022	0.1501	0
327	1	9599527	9642831	NM_032315	SLC25A33	0.1501	0
328	1	9648931	9665020	NM_001010866	TMEM201	0.1501	0
329	1	9648931	9674935	NM_001130924	TMEM201	0.1501	0
330	1	9711789	9789172	NM_005026	PIK3CD	0.1501	0
331	1	9712667	9714644	NR_027045	PIK3CD-AS1	0.1501	0
332	1	9732483	9747632	NR_126367	PIK3CD-AS2	0.1501	0
333	1	9732483	9747632	NR_126366	PIK3CD-AS2	0.1501	0
334	1	9740902	9747632	NR_126368	PIK3CD-AS2	0.1501	0
335	1	9789078	9884584	NM_001009566	CLSTN1	0.1501	0
336	1	9789078	9884584	NM_014944	CLSTN1	0.1501	0
337	1	9789078	9884584	NM_001302883	CLSTN1	0.1501	0
338	1	9908333	9970316	NM_001012329	CTNNBIP1	0.1501	0
339	1	9908333	9970316	NM_020248	CTNNBIP1	0.1501	0
340	1	9989775	10002826	NM_032368	LZIC	0.1501	0
341	1	10002980	10045556	NM_001297778	NMNAT1	0.1501	0
342	1	10003485	10041824	NM_001297779	NMNAT1	0.1501	0
343	1	10003485	10045556	NM_022787	NMNAT1	0.1501	0
344	1	10027438	10027516	NR_049882	MIR5697	0.1501	0
345	1	10057254	10076078	NM_052960	RBP7	0.1501	0
346	1	10093040	10241296	NM_006048	UBE4B	0.1501	0
347	1	10093040	10241296	NM_001105562	UBE4B	0.1501	0
348	1	10270763	10368655	NM_183416	KIF1B	0.1501	0
349	1	10270763	10441661	NM_015074	KIF1B	0.1501	0
350	1	10359023	10359128	NR_125730	RNU6-2	0.1501	0
351	1	10459048	10480568	NM_001304451	PGD	0.1501	0
352	1	10459048	10480568	NM_002631	PGD	0.1501	0
353	1	10459174	10480568	NM_001304452	PGD	0.1501	0
354	1	10490158	10512060	NM_198544	APITD1-CORT	0.1501	0
355	1	10490158	10512060	NM_199006	APITD1-CORT	0.1501	0
356	1	10490158	10502872	NM_199294	APITD1	0.1501	0
357	1	10490158	10512060	NM_001270517	APITD1-CORT	0.1501	0
358	1	10490803	10512060	NM_001243768	APITD1-CORT	0.1501	0
359	1	10490803	10502872	NR_036462	APITD1	0.1501	0
360	1	10490803	10512060	NR_037187	APITD1-CORT	0.1501	0
361	1	10509775	10512060	NM_001302	CORT	0.1501	0
362	1	10520602	10532613	NM_213566	DFFA	0.1501	0
363	1	10520602	10532613	NM_004401	DFFA	0.1501	0
364	1	10535002	10690815	NM_004565	PEX14	0.1501	0
365	1	10696665	10856733	NM_001079843	CASZ1	0.1501	0
366	1	10707262	10856733	NM_017766	CASZ1	0.1501	0
367	1	11006529	11042094	NM_001170754	C1orf127	0.1501	0
368	1	11072678	11085549	NM_007375	TARDBP	0.1501	0
369	1	11086579	11107296	NM_006610	MASP2	0.1501	0
370	1	11104854	11107296	NM_139208	MASP2	0.1501	0
371	1	11114648	11120091	NM_003132	SRM	0.1501	0
372	1	11126669	11159967	NM_002685	EXOSC10	0.1501	0
373	1	11126669	11159967	NM_001001998	EXOSC10	0.1501	0
374	1	11166587	11322608	NM_004958	MTOR	0.1501	0
375	1	11203954	11209595	NR_046600	MTOR-AS1	0.1501	0
376	1	11249345	11256038	NM_021146	ANGPTL7	0.1501	0
377	1	11333254	11348491	NM_013319	UBIAD1	0.1501	0
378	1	11539294	11597640	NM_020780	PTCHD2	0.1501	0
379	1	11669587	11673411	NR_104624	LOC101929181	0.1501	0
380	1	11708417	11714888	NM_012168	FBXO2	0.1501	0
381	1	11714431	11723384	NM_001304791	FBXO44	0.1501	0
382	1	11714431	11723384	NM_183412	FBXO44	0.1501	0
383	1	11714913	11723384	NM_001014765	FBXO44	0.1501	0
384	1	11714913	11723384	NM_001304790	FBXO44	0.1501	0
385	1	11714913	11723384	NM_033182	FBXO44	0.1501	0
386	1	11714913	11723384	NR_130909	FBXO44	0.1501	0
387	1	11714913	11723384	NM_183413	FBXO44	0.1501	0
388	1	11724149	11734409	NM_018438	FBXO6	0.1501	0
389	1	11734536	11741271	NM_006341	MAD2L2	0.1501	0
390	1	11734536	11751678	NM_001127325	MAD2L2	0.1501	0
391	1	11751780	11780336	NM_198545	DRAXIN	0.1501	0
392	1	11796141	11810828	NM_001040194	AGTRAP	0.1501	0
393	1	11796141	11810828	NM_001040195	AGTRAP	0.1501	0
394	1	11796141	11810828	NM_001040197	AGTRAP	0.1501	0
395	1	11796141	11810828	NM_001040196	AGTRAP	0.1501	0
396	1	11796141	11810828	NM_020350	AGTRAP	0.1501	0
397	1	11822249	11849642	NM_001010881	C1orf167	0.1501	0
398	1	11837133	11839676	NR_126000	LOC102724659	0.1501	0
399	1	11845786	11866160	NM_005957	MTHFR	0.1501	0
400	1	11866152	11903201	NR_046428	CLCN6	0.1501	0
401	1	11866152	11903201	NM_001286	CLCN6	0.1501	0
402	1	11866152	11903201	NM_001256959	CLCN6	0.1501	0
403	1	11900375	11907673	NR_037806	NPPA-AS1	0.1501	0
404	1	11905766	11907840	NM_006172	NPPA	0.1501	0
405	1	11917520	11918992	NM_002521	NPPB	0.1501	0
406	1	11979644	11986485	NM_138346	KIAA2013	0.1501	0
407	1	11994723	12035599	NM_000302	PLOD1	0.1501	0
408	1	12040237	12073572	NM_001127660	MFN2	0.1501	0
409	1	12040237	12073572	NM_014874	MFN2	0.1501	0
410	1	12079298	12092106	NM_021933	MIIP	0.1501	0
411	1	12089214	12089279	NR_106787	MIR6729	0.1501	0
412	1	12123433	12204264	NM_001243	TNFRSF8	0.1501	0
413	1	12123433	12204264	NM_001281430	TNFRSF8	0.1501	0
414	1	12226999	12227095	NR_107000	MIR7846	0.1501	0
415	1	12227059	12269277	NM_001066	TNFRSF1B	0.1501	0
416	1	12251769	12251830	NR_039775	MIR4632	0.1501	0
417	1	12290095	12572098	NM_018156	VPS13D	0.1501	0
418	1	12290095	12572098	NM_015378	VPS13D	0.1501	0
419	1	12567299	12567451	NR_003022	SNORA59B	0.1501	0
420	1	12567299	12567451	NR_003025	SNORA59A	0.1501	0
421	1	12627938	12677737	NM_004753	DHRS3	0.1501	0
422	1	12638984	12639051	NR_106788	MIR6730	0.1501	0
423	1	12704565	12727097	NM_001013630	AADACL4	0.1501	0
424	1	12776117	12788726	NM_001103170	AADACL3	0.1501	0
425	1	12776117	12788726	NR_111984	AADACL3	0.1501	0
426	1	12806133	12821102	NM_152290	C1orf158	0.1501	0
427	1	12834990	12838048	NM_001080830	PRAMEF12	0.1501	0
428	1	12851545	12856777	NM_023013	PRAMEF1	0.1501	0
429	1	12854842	12856777	NM_001294139	PRAMEF1	0.1501	0
430	1	12884617	12891264	NM_001146344	PRAMEF11	0.1501	0
431	1	12907229	12908609	NM_001013631	HNRNPCL1	0.1501	0
432	1	12907229	12908157	NM_001302551	HNRNPCL4	0.1501	0
433	1	12907229	12908235	NM_001146181	HNRNPCL3	0.1501	0
434	1	12916940	12921764	NM_023014	PRAMEF2	0.1501	0
435	1	12939032	12946025	NM_001009611	PRAMEF4	0.1501	0
436	1	12976466	12980300	NM_001012276	PRAMEF8	0.1501	0
437	1	12976466	12980300	NM_001012277	PRAMEF7	0.1501	0
438	1	12998301	13007406	NM_001010889	PRAMEF6	0.1501	0
439	1	12998504	13002353	NM_001010890	PRAMEF9	0.1501	0
440	1	12998504	13002353	NM_001300891	LOC101929983	0.1501	0
441	1	13035498	13039011	NM_001099850	LOC391003	0.1501	0
442	1	13035542	13038381	NM_001100631	PRAMEF22	0.1501	0
443	1	13052393	13112702	NM_001306072	PRAMEF26	0.1501	0
444	1	13108513	13117751	NM_001013407	PRAMEF5	0.1501	0
445	1	13161985	13167193	NR_111947	LOC649324	0.1501	0
446	1	13161985	13167193	NR_111945	LOC645354	0.1501	0
